step,train_margin_mean,train_margin_min,train_margin_q01,train_margin_q05,train_margin_q25,train_margin_median,train_margin_q75,train_margin_q95,train_margin_q99,test_margin_mean,test_margin_min,test_margin_q01,test_margin_q05,test_margin_q25,test_margin_median,test_margin_q75,test_margin_q95,test_margin_q99
50,-0.551068276063958,-5.1717963218688965,-3.0832580280303956,-2.197631335258484,-1.163276195526123,-0.5372092723846436,0.12445127964019775,0.9860495567321775,1.5111139822006232,-4.917895247338302,-11.376374244689941,-8.761760187149047,-7.491603136062622,-5.9196062088012695,-4.8435468673706055,-3.8657575249671936,-2.5739997029304504,-1.7532773613929744
100,2.8983413683363897,-0.3670969009399414,1.1635149765014647,1.6269136428833009,2.3497977256774902,2.853039264678955,3.4099044799804688,4.370814132690427,5.062792625427247,-14.648301954519399,-43.38866424560547,-31.075939655303955,-25.137571811676025,-18.327303409576416,-14.077244758605957,-10.424604177474976,-5.980554580688477,-3.4066502094268705
150,5.163285251377175,2.987699508666992,3.860761489868164,4.185299491882324,4.693530559539795,5.097837448120117,5.550442695617676,6.32953062057495,7.220722808837892,-20.75956479319857,-66.47152709960938,-45.42553005218506,-36.75545120239258,-26.221985340118408,-19.76374340057373,-14.478784084320068,-7.908629059791565,-4.4173819065093936
200,5.7068928323969255,3.5418529510498047,4.455925731658936,4.768594646453858,5.250027656555176,5.63786506652832,6.083981037139893,6.831505680084228,7.664910535812379,-21.995373414502765,-71.51170349121094,-48.94714469909668,-39.13580513000488,-27.877145290374756,-20.934189796447754,-15.385081052780151,-8.265643835067749,-4.535790491104121
250,6.026033619569712,3.900470733642578,4.782747611999512,5.107466030120849,5.579595565795898,5.970682144165039,6.3856072425842285,7.1222396850585925,7.940950241088868,-22.674827953960893,-74.19129943847656,-50.70081748962402,-40.511064529418945,-28.72884464263916,-21.474275588989258,-15.826155424118042,-8.405468702316284,-4.4659787654876695
300,6.263657685071269,4.151086807250977,5.019897212982178,5.358670234680176,5.825498580932617,6.211098670959473,6.629868507385254,7.348385047912597,8.079489154815676,-23.166937558227847,-76.11433410644531,-51.72427520751953,-41.58373737335205,-29.410743713378906,-21.89995002746582,-16.05723762512207,-8.535166263580322,-4.33573231697082
350,6.454840779843052,4.364435195922852,5.208187656402588,5.5594940185546875,6.016378402709961,6.396137237548828,6.817644119262695,7.54906702041626,8.256833190917975,-23.574587629401343,-77.66319274902344,-52.5648868560791,-42.43043899536133,-29.870258331298828,-22.262529373168945,-16.170799732208252,-8.60751986503601,-4.24469919204711
400,6.618356098876555,4.5522613525390625,5.383350601196289,5.7322265625,6.189077377319336,6.562236785888672,6.982781410217285,7.679004859924317,8.36454288482666,-23.931717702948028,-79.54216003417969,-53.5422607421875,-43.4419059753418,-30.288156032562256,-22.571263313293457,-16.345719814300537,-8.653631448745728,-4.2125508785247785
450,6.764273880201547,4.708202362060547,5.528859939575195,5.887234783172607,6.334561347961426,6.708078384399414,7.133822441101074,7.833759307861326,8.524630126953127,-24.263170479207947,-81.26505279541016,-54.355431747436526,-44.18793487548828,-30.740128993988037,-22.880475997924805,-16.498196125030518,-8.686496496200562,-4.234855508804315
500,6.898787721876701,4.828603744506836,5.652783279418945,6.019225406646728,6.4769086837768555,6.847713470458984,7.2654008865356445,7.951808547973632,8.611586914062501,-24.578519497701475,-82.94497680664062,-55.35342216491699,-44.90203666687012,-31.234867572784424,-23.145562171936035,-16.63295030593872,-8.613582849502563,-4.120472574234007
