step,train_accuracy,test_accuracy
50,0.2960403859615326,0.0
100,0.9992027878761292,0.00017711654072627425
150,1.0,0.0005313496221788228
200,1.0,0.0005313496221788228
250,1.0,0.0005313496221788228
300,1.0,0.0005313496221788228
350,1.0,0.000708466162905097
400,1.0,0.0008855827036313713
450,1.0,0.0008855827036313713
500,1.0,0.0010626992443576455
550,1.0,0.0010626992443576455
600,1.0,0.0008855827036313713
650,1.0,0.0008855827036313713
700,1.0,0.0008855827036313713
750,1.0,0.0008855827036313713
800,1.0,0.0012398157268762589
850,1.0,0.001416932325810194
900,1.0,0.0015940489247441292
950,1.0,0.0017711654072627425
1000,1.0,0.0017711654072627425
1050,1.0,0.0019482818897813559
1100,1.0,0.0019482818897813559
1150,1.0,0.002125398488715291
1200,1.0,0.002125398488715291
1250,1.0,0.002302515087649226
1300,1.0,0.0024796314537525177
1350,1.0,0.002656748052686453
1400,0.034546904265880585,0.002656748052686453
1450,0.06962529569864273,0.00017711654072627425
1500,0.2115333527326584,0.00017711654072627425
1550,0.707148551940918,0.00017711654072627425
1600,0.9997342824935913,0.00017711654072627425
1650,1.0,0.00017711654072627425
1700,1.0,0.0003542330814525485
1750,1.0,0.0003542330814525485
1800,1.0,0.0003542330814525485
1850,1.0,0.0005313496221788228
1900,1.0,0.0005313496221788228
1950,1.0,0.0005313496221788228
2000,1.0,0.0005313496221788228
2050,1.0,0.0005313496221788228
2100,1.0,0.0005313496221788228
2150,1.0,0.0005313496221788228
2200,1.0,0.0005313496221788228
2250,1.0,0.0008855827036313713
2300,1.0,0.0008855827036313713
2350,1.0,0.0008855827036313713
2400,1.0,0.0008855827036313713
2450,1.0,0.0010626992443576455
2500,1.0,0.0010626992443576455
2550,1.0,0.0010626992443576455
2600,1.0,0.0012398157268762589
2650,1.0,0.0017711654072627425
2700,1.0,0.0017711654072627425
2750,1.0,0.0017711654072627425
2800,1.0,0.002302515087649226
2850,1.0,0.0024796314537525177
2900,1.0,0.002656748052686453
2950,1.0,0.0024796314537525177
