step,run_id,checkpoint_relative_path,checkpoint_sha256,semantic_state_sha256,source_git_commit,scientific_config_hash,split_hash,lineage_depth,alias_count
0,20260721T045021566841Z_ef3ee07b,runs/20260721T045021566841Z_ef3ee07b/checkpoints/step_000000.pt,2297918fa4949b889be5f11271c588327938a2fe85ed95189eab870e236e787e,a905b04ac06e7e2c1e955281e70ab9149fc8110a97e4a8ed8889a51b8c1b2666,98c5347dafe28479817a45f5a2dc61434d869d00,b167674594bf0944f0b2afb877d2d8c8f5647c0e4e60c64ebb2a511a9f1f7729,d0ec6ff924ecc411b9a9d40786f057ec869076b98308e2ecb75da2756c308237,0,0
100,20260721T045021566841Z_ef3ee07b,runs/20260721T045021566841Z_ef3ee07b/checkpoints/step_000100.pt,69c107b90568a0aad18a71a455c668dea9533c7ca5e9bff43c06b431e4fb26e0,d8706bde9e8af61a32f2c77b6ad590df13b15aac0179c5caad7899e000435a73,98c5347dafe28479817a45f5a2dc61434d869d00,b167674594bf0944f0b2afb877d2d8c8f5647c0e4e60c64ebb2a511a9f1f7729,d0ec6ff924ecc411b9a9d40786f057ec869076b98308e2ecb75da2756c308237,0,0
200,20260721T045021566841Z_ef3ee07b,runs/20260721T045021566841Z_ef3ee07b/checkpoints/step_000200.pt,f2050f0cef6839d5a307822293c99f877b87082dfea10d48979dfe3fd0653b2f,f59cd5ee6c67bcab12747c3b0debd302372543c28a0c170b2eed2540440aa814,98c5347dafe28479817a45f5a2dc61434d869d00,b167674594bf0944f0b2afb877d2d8c8f5647c0e4e60c64ebb2a511a9f1f7729,d0ec6ff924ecc411b9a9d40786f057ec869076b98308e2ecb75da2756c308237,0,0
300,20260721T045021566841Z_ef3ee07b,runs/20260721T045021566841Z_ef3ee07b/checkpoints/step_000300.pt,d04badaa809e988ca93515a933a1a59a55c49e416c653d444cdbd834ac11cde3,66be832aab13063e6d9c378a8735e04ee6d2dd503c3262f72cdf361ac9e4a8cf,98c5347dafe28479817a45f5a2dc61434d869d00,b167674594bf0944f0b2afb877d2d8c8f5647c0e4e60c64ebb2a511a9f1f7729,d0ec6ff924ecc411b9a9d40786f057ec869076b98308e2ecb75da2756c308237,0,0
400,20260721T045021566841Z_ef3ee07b,runs/20260721T045021566841Z_ef3ee07b/checkpoints/step_000400.pt,b73e435b7dc1172b94a791d5564860c27c48c28c24e55e86ff53451750e08e9b,f23bd7d9edfce5c4471eb6bc564935fabc20be105c8da65593bcfd0e04873a43,98c5347dafe28479817a45f5a2dc61434d869d00,b167674594bf0944f0b2afb877d2d8c8f5647c0e4e60c64ebb2a511a9f1f7729,d0ec6ff924ecc411b9a9d40786f057ec869076b98308e2ecb75da2756c308237,0,0
500,20260721T045021566841Z_ef3ee07b,runs/20260721T045021566841Z_ef3ee07b/checkpoints/step_000500.pt,34651dc97999e88e1f743ab494f848a665c8fd5b135ede042e7d8b795e8a462c,862087b6b19818ce1bf95d474b8908c2ca675b4039e83312e9fca4dd3c3d4691,98c5347dafe28479817a45f5a2dc61434d869d00,b167674594bf0944f0b2afb877d2d8c8f5647c0e4e60c64ebb2a511a9f1f7729,d0ec6ff924ecc411b9a9d40786f057ec869076b98308e2ecb75da2756c308237,0,0
600,20260721T045021566841Z_ef3ee07b,runs/20260721T045021566841Z_ef3ee07b/checkpoints/step_000600.pt,fdc631437c5716cb750dc83df8631c77dfae28c5563f6d63052d70d699d7c4dc,ef5a6b44133462af3bc00ccdd6d270ae52ac92ce040dc320cf932f8beae16ebe,98c5347dafe28479817a45f5a2dc61434d869d00,b167674594bf0944f0b2afb877d2d8c8f5647c0e4e60c64ebb2a511a9f1f7729,d0ec6ff924ecc411b9a9d40786f057ec869076b98308e2ecb75da2756c308237,0,0
700,20260721T045021566841Z_ef3ee07b,runs/20260721T045021566841Z_ef3ee07b/checkpoints/step_000700.pt,3d6f62a8d51af4f80f43359cf3648f31fc8cede0bf55785db69aa9d49b845e2d,fd978660b8bd677a7e758ca5a90905940730469c150ef8b2e7d43e6955743faa,98c5347dafe28479817a45f5a2dc61434d869d00,b167674594bf0944f0b2afb877d2d8c8f5647c0e4e60c64ebb2a511a9f1f7729,d0ec6ff924ecc411b9a9d40786f057ec869076b98308e2ecb75da2756c308237,0,0
800,20260721T045021566841Z_ef3ee07b,runs/20260721T045021566841Z_ef3ee07b/checkpoints/step_000800.pt,e92ef1c11d51091673d724f83c15be6a52ad7479626d6265eda4ba5c711a41ee,5e2cc671554a9b30ba85297bfd9a9899dea5597d9663c78641d262dfed63559d,98c5347dafe28479817a45f5a2dc61434d869d00,b167674594bf0944f0b2afb877d2d8c8f5647c0e4e60c64ebb2a511a9f1f7729,d0ec6ff924ecc411b9a9d40786f057ec869076b98308e2ecb75da2756c308237,0,0
900,20260721T045021566841Z_ef3ee07b,runs/20260721T045021566841Z_ef3ee07b/checkpoints/step_000900.pt,895c8cf426f2b23e6b2f1134d3ba8b6482fc64d763e07d76606cd0bad88b74db,39e160d3a500f1928064625d890aa08f9a802729dbc953694b186d04d2adbd45,98c5347dafe28479817a45f5a2dc61434d869d00,b167674594bf0944f0b2afb877d2d8c8f5647c0e4e60c64ebb2a511a9f1f7729,d0ec6ff924ecc411b9a9d40786f057ec869076b98308e2ecb75da2756c308237,0,0
