target_step,episode_id,episode_type,state_role,state_role_id,episode_status,resolution,replay_source_step,replay_updates,active_test_episode_ids,recovery_start,recovery_confirmed
0,protocol,protocol,initialization,protocol:initialization,observed,exact_checkpoint,,0,[],not_applicable,not_applicable
100,protocol,protocol,t_fit,event:t_fit,observed,exact_checkpoint,,0,[],not_applicable,not_applicable
300,protocol,protocol,t_fit_detected_at,event:t_fit_detected_at,observed,exact_checkpoint,,0,[],not_applicable,not_applicable
1350,train_001,train,pre_collapse,train_001:pre_collapse,recovered,deterministic_replay,1300,50,[],not_applicable,not_applicable
1400,train_001,train,onset,train_001:onset,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
1400,train_001,train,train_trough,train_001:train_trough,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
1600,train_001,train,train_recovery_start,train_001:train_recovery_start,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
1700,train_001,train,train_recovery_confirmed,train_001:train_recovery_confirmed,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
1750,train_001,train,post_recovery,train_001:post_recovery,recovered,deterministic_replay,1700,50,[],not_applicable,not_applicable
5050,protocol,protocol,m1b_first_replay,lineage:m1b_first_replay,observed,deterministic_replay,5000,50,[],not_applicable,not_applicable
5850,protocol,protocol,pre_grokking_instability,protocol:pre_grokking_instability,observed,deterministic_replay,5800,50,[],not_applicable,not_applicable
6050,protocol,protocol,t_grok50,event:t_grok50,observed,deterministic_replay,6000,50,[],not_applicable,not_applicable
6150,protocol,protocol,t_grok50_detected_at,event:t_grok50_detected_at,observed,deterministic_replay,6100,50,[],not_applicable,not_applicable
7000,protocol,protocol,t_grok99,event:t_grok99,observed,exact_checkpoint,,0,[],not_applicable,not_applicable
7100,protocol,protocol,t_grok99_detected_at,event:t_grok99_detected_at,observed,exact_checkpoint,,0,[],not_applicable,not_applicable
7300,joint_001,joint,pre_collapse,joint_001:pre_collapse,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
7300,test_001,test,pre_collapse,test_001:pre_collapse,recovered,exact_checkpoint,,0,[],not_applicable,not_applicable
7350,joint_001,joint,onset,joint_001:onset,recovered,deterministic_replay,7300,50,[],not_applicable,not_applicable
